Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize
Jul,4,Tuesday,Honda,Urban,Wednesday,Jul,4,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,936,8,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,2949.685723
Jul,5,Monday,Toyota,Urban,Wednesday,Aug,1,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,938,14,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,3726.587205
Aug,1,Friday,Chevrolet,Urban,Wednesday,Aug,3,Female,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,939,1,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,9696.374559
Oct,5,Saturday,Mazda,Urban,Wednesday,Nov,2,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,940,8,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,7415.653184
Nov,1,Friday,Pontiac,Urban,Saturday,Nov,1,Female,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,941,6,400,2,more than 30,more than 30,more than 4,4 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,42378.30328
Nov,2,Saturday,Honda,Urban,Saturday,Nov,3,Male,Single,19,Policy Holder,Sport - Collision,Sport,more than 69000,0,942,12,400,2,more than 30,more than 30,none,3 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,56921.5264
Jan,5,Sunday,Saab,Rural,Tuesday,Feb,2,Male,Married,59,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,944,3,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,3 to 4,1994,All Perils,15395.49226
Nov,4,Tuesday,Porche,Urban,Thursday,Nov,4,Male,Married,50,Policy Holder,Sedan - Liability,Sport,more than 69000,0,945,8,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,86797.1844
Nov,1,Friday,Pontiac,Urban,Wednesday,Nov,2,Male,Single,18,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,947,6,400,2,more than 30,more than 30,more than 4,3 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,12364.86629
Nov,1,Wednesday,Toyota,Urban,Monday,Nov,3,Male,Married,64,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,948,6,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,22322.13005
Aug,1,Friday,Toyota,Urban,Monday,Aug,2,Male,Single,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,951,7,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,3098.113963
Jul,4,Tuesday,Honda,Urban,Thursday,Jul,4,Male,Single,24,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,953,8,400,3,more than 30,more than 30,none,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Liability,5069.254888
Jul,4,Monday,Honda,Urban,Wednesday,Jul,4,Male,Married,59,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,954,1,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1670.563193
Jul,3,Monday,Ford,Urban,Wednesday,Jul,3,Male,Married,46,Third Party,Sedan - Collision,Sedan,more than 69000,0,956,12,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,98545.37434
Jul,3,Friday,Mazda,Rural,Tuesday,Sep,1,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,957,9,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,3463.427287
Jun,3,Friday,Ford,Urban,Thursday,Jun,4,Male,Married,49,Third Party,Sedan - Collision,Sedan,60000 to 69000,0,958,3,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,57166.76095
Jun,3,Thursday,Mazda,Urban,Tuesday,Jun,3,Male,Married,31,Third Party,Sport - Collision,Sport,more than 69000,0,959,1,400,1,more than 30,more than 30,none,6 years,31 to 35,No,Yes,External,none,no change,1 vehicle,1994,Collision,74984.02709
May,3,Tuesday,Toyota,Urban,Wednesday,May,3,Male,Married,65,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,962,1,700,4,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,5874.578447
Apr,1,Monday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,72,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,963,9,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision,82211.85926
Mar,5,Friday,Honda,Urban,Monday,Apr,1,Male,Married,60,Third Party,Sedan - Liability,Sport,20000 to 29000,0,966,7,400,1,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,12019.24413
Mar,4,Monday,VW,Urban,Thursday,Mar,5,Male,Married,56,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,967,16,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,85948.33557
Mar,4,Thursday,Dodge,Rural,Thursday,Mar,4,Male,Married,51,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,969,16,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,4297.487626
Nov,2,Wednesday,Pontiac,Urban,Friday,Nov,2,Male,Married,65,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,972,5,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,3065.140983
Nov,1,Sunday,Accura,Urban,Monday,Nov,4,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,973,7,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,9512.002216
Nov,1,Friday,Pontiac,Urban,Monday,Nov,2,Male,Married,43,Third Party,Sedan - All Perils,Sedan,less than 20000,0,974,7,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,974.2919898
Oct,5,Friday,Ford,Urban,Monday,Oct,5,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,975,3,400,3,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,12851.76452
Oct,4,Tuesday,Toyota,Urban,Wednesday,Oct,4,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,976,4,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,4015.92563
Oct,2,Thursday,Mazda,Rural,Monday,Oct,3,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,977,5,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,5583.094519
Oct,2,Monday,Honda,Rural,Tuesday,Oct,3,Male,Married,53,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,978,4,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,64194.69635
Sep,4,Friday,Pontiac,Urban,Friday,Sep,4,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,980,11,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,7615.46583
Sep,2,Sunday,Honda,Urban,Thursday,Sep,3,Female,Married,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,981,16,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,865.5416605
Aug,2,Friday,Mazda,Urban,Tuesday,Sep,3,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,983,16,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,5931.442892
Feb,1,Wednesday,Honda,Urban,Tuesday,Feb,3,Male,Single,29,Third Party,Sedan - All Perils,Sedan,more than 69000,0,985,13,400,4,more than 30,more than 30,none,new,31 to 35,No,No,External,none,no change,3 to 4,1994,All Perils,51716.57077
Jul,2,Sunday,Pontiac,Urban,Wednesday,Jul,2,Male,Single,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,986,8,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,50211.56971
Jul,2,Thursday,Toyota,Urban,Tuesday,Jul,2,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,987,1,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,2350.500251
Jun,4,Saturday,Pontiac,Urban,Monday,Jun,4,Female,Single,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,988,2,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision,53184.46734
Jun,1,Wednesday,Pontiac,Urban,Monday,Jun,1,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,992,1,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,9643.178638
May,5,Monday,Pontiac,Urban,Thursday,Jun,1,Male,Single,30,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,993,11,700,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,5158.820185
May,5,Monday,Honda,Urban,Monday,Jun,1,Male,Single,,Policy Holder,Sedan - Liability,Sport,more than 69000,0,994,1,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,85555.91624
May,5,Monday,Toyota,Urban,Thursday,Jun,1,Male,Married,40,Third Party,Sedan - Liability,Sport,30000 to 39000,0,995,11,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,61377.75423
May,4,Monday,Chevrolet,Urban,Tuesday,May,4,Male,Single,58,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,996,12,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,55918.12839
May,2,Sunday,Pontiac,Urban,Tuesday,May,2,Female,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1001,3,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,4746.454278
May,1,Wednesday,Pontiac,Urban,Monday,May,2,Female,Single,40,Third Party,Sedan - Liability,Sport,less than 20000,0,1002,9,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,1 year,1 vehicle,1994,Liability,1275.986252
Apr,4,Thursday,Toyota,Urban,Friday,Apr,4,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1004,2,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,4022.115364
Apr,3,Saturday,Mazda,Urban,Thursday,Apr,4,Male,Single,23,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1005,15,400,4,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability,7646.18882
Sep,2,Monday,Toyota,Urban,Monday,Oct,4,Male,Married,42,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1007,6,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1659.025955
Nov,4,Wednesday,Toyota,Urban,Thursday,Nov,4,Male,Single,40,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,1008,14,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,79417.32882
Dec,4,Friday,Toyota,Urban,Thursday,Dec,5,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1009,10,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision,5096.594565
Nov,4,Saturday,Honda,Urban,Tuesday,Nov,5,Male,Married,70,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1010,2,400,4,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision,1649.872728
Dec,1,Sunday,Honda,Urban,Tuesday,Dec,1,Female,Married,43,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1011,16,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,3588.601936
Dec,1,Saturday,Honda,Urban,Monday,Dec,1,Male,Married,42,Third Party,Sedan - Collision,Sedan,more than 69000,0,1012,1,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,77167.22325
Aug,5,Wednesday,Mazda,Urban,Tuesday,Sep,1,Male,Married,54,Third Party,Sedan - Liability,Sport,20000 to 29000,0,1013,15,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,3350.293682
Dec,4,Tuesday,Mazda,Urban,Wednesday,Dec,5,Male,Married,56,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1015,7,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,6259.72432
Sep,2,Wednesday,Chevrolet,Urban,Thursday,Oct,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1016,9,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,50099.55706
Oct,1,Friday,Toyota,Urban,Friday,Oct,1,Male,Married,51,Third Party,Sedan - All Perils,Sedan,less than 20000,0,1017,13,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,2046.529315
Aug,3,Wednesday,Mazda,Urban,Monday,Aug,4,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1018,15,400,1,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,4427.23141
Jul,3,Monday,Chevrolet,Urban,Wednesday,Jul,3,Male,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1020,5,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,27177.55436
Dec,4,Sunday,Honda,Urban,Tuesday,Dec,4,Male,Married,72,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,1022,6,400,1,more than 30,more than 30,1,7 years,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,82762.9469
Sep,1,Thursday,Chevrolet,Urban,Wednesday,Sep,2,Male,Married,39,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,1023,6,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,70530.64695
Dec,3,Saturday,Accura,Urban,Sunday,Jan,1,Male,Married,41,Third Party,Sedan - All Perils,Sedan,more than 69000,0,1025,4,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,71748.16292
Dec,2,Sunday,Toyota,Urban,Monday,Dec,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1026,6,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,3 to 4,1994,Liability,63150.59784
Sep,5,Thursday,Mazda,Urban,Wednesday,Oct,3,Male,Single,19,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1027,10,400,1,1 to 7,more than 30,2 to 4,2 years,21 to 25,No,No,External,none,no change,1 vehicle,1994,Collision,1131.044207
Feb,1,Thursday,Chevrolet,Urban,Saturday,Apr,1,Male,Married,36,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1028,6,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,5140.806868
Feb,2,Thursday,Toyota,Urban,Monday,Feb,3,Female,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1029,8,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,27659.58947
Feb,1,Sunday,Pontiac,Urban,Wednesday,Feb,2,Male,Married,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1030,2,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,8099.805989
Jan,5,Saturday,Honda,Urban,Tuesday,Jan,5,Male,Married,32,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1032,16,400,4,more than 30,more than 30,more than 4,new,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,98226.78665
Feb,1,Friday,Mazda,Urban,Saturday,Feb,1,Female,Married,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1033,9,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,3306.352688
Feb,4,Sunday,Toyota,Urban,Friday,Mar,2,Male,Married,59,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1034,11,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,8709.668995
Dec,3,Tuesday,Chevrolet,Urban,Wednesday,Dec,3,Male,Single,27,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,1035,13,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,50201.42845
May,4,Wednesday,Toyota,Rural,Thursday,May,4,Male,Single,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1036,6,400,2,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,5658.221462
Mar,3,Monday,Mazda,Urban,Wednesday,Mar,3,Male,Married,48,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1037,16,400,1,more than 30,more than 30,1,5 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,5127.543697
Mar,2,Thursday,Chevrolet,Urban,Thursday,Mar,3,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1038,1,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,36553.10045
Mar,2,Monday,Honda,Urban,Tuesday,Mar,2,Male,Single,,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1039,9,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,53588.10536
Mar,4,Thursday,Chevrolet,Urban,Friday,Apr,1,Female,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1040,7,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,5445.627931
Mar,4,Monday,Honda,Urban,Thursday,Mar,4,Female,Single,43,Third Party,Sedan - Liability,Sport,20000 to 29000,0,1041,12,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,4905.339641
Mar,3,Saturday,Chevrolet,Rural,Monday,Mar,4,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1042,15,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,67031.36799
Apr,1,Monday,Honda,Urban,Monday,Apr,1,Male,Single,,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1044,9,400,3,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,55138.15269
Mar,2,Wednesday,Accura,Urban,Wednesday,Mar,4,Female,Single,26,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1045,12,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,69927.89407
Mar,5,Thursday,Pontiac,Urban,Saturday,Apr,1,Female,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1047,3,400,2,more than 30,more than 30,2 to 4,4 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,2450.157706
Jul,2,Sunday,Honda,Urban,Monday,Aug,3,Male,Married,55,Third Party,Sport - Collision,Sport,more than 69000,0,1048,9,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,83668.48348
Jun,4,Tuesday,Honda,Urban,Friday,Jul,2,Male,Married,48,Third Party,Sport - Collision,Sport,more than 69000,0,1049,5,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,53995.82901
Jun,4,Thursday,Honda,Urban,Friday,Jun,4,Male,Married,52,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1050,5,400,3,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,50754.80403
Mar,2,Monday,Toyota,Urban,Saturday,Mar,4,Male,Single,31,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1051,15,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1994,Collision,14105.54332
Apr,1,Friday,Toyota,Urban,Wednesday,Apr,1,Male,Married,45,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1052,15,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,4096.228735
Mar,5,Tuesday,Chevrolet,Urban,Friday,Apr,1,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1053,14,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,31524.162
Nov,5,Tuesday,Pontiac,Urban,Tuesday,Nov,5,Female,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1057,2,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,28544.66592
Oct,2,Monday,Toyota,Rural,Wednesday,Oct,3,Male,Single,22,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1058,11,400,4,more than 30,more than 30,1,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,12647.30746
Sep,2,Friday,Accura,Urban,Monday,Oct,1,Male,Married,50,Policy Holder,Utility - All Perils,Utility,more than 69000,0,1059,4,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,66390.23369
Nov,3,Sunday,Toyota,Rural,Tuesday,Nov,4,Female,Married,35,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1061,3,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,5319.929684
Feb,1,Monday,Pontiac,Urban,Monday,Feb,1,Male,Single,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1062,12,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,3842.354816
Feb,2,Monday,Chevrolet,Urban,Thursday,Feb,2,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1064,7,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,19690.48609
Jan,5,Friday,Ford,Urban,Monday,Jan,5,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1065,2,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,4585.112257
Nov,4,Friday,Mazda,Urban,Monday,Dec,1,Male,Single,44,Third Party,Sedan - Liability,Sport,30000 to 39000,0,1066,6,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,15834.77128
Nov,5,Monday,Pontiac,Urban,Thursday,Dec,1,Male,Married,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1068,15,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,10791.3632
Nov,5,Monday,Accura,Urban,Thursday,Dec,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1069,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,69029.5914
Jun,3,Sunday,Honda,Rural,Friday,Jul,2,Male,Single,,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,1071,15,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,55178.634
Jun,5,Thursday,Honda,Urban,Friday,Jul,3,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1074,12,400,4,none,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,69570.36943
Jul,4,Tuesday,Toyota,Urban,Wednesday,Nov,4,Male,Married,65,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1076,2,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,5032.360792
Jul,5,Sunday,Honda,Urban,Tuesday,Aug,1,Female,Married,65,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1077,7,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability,52565.74189
Aug,1,Thursday,Toyota,Urban,Wednesday,Aug,2,Female,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1078,3,400,2,more than 30,more than 30,2 to 4,3 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,7848.285452
Aug,3,Wednesday,Pontiac,Rural,Friday,Aug,3,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1079,1,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,3592.983347
Sep,2,Tuesday,Pontiac,Urban,Wednesday,Sep,3,Male,Married,38,Third Party,Sedan - Liability,Sport,30000 to 39000,0,1081,1,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,25137.61144
